model,scheme,fold,metric,value
ridge_spatial,random,2,mae_log,0.2669986256845588
ridge_spatial,random,2,r2,0.6186971935958717
ridge_spatial,random,2,medape_pct,19.689913986713744
ridge_spatial,random,2,mae_price_gbp,225658.07081781924
ridge_spatial,random,2,duan_smearing,1.076365940962564
lasso_spatial,random,2,rmse_log,0.36993681823705804
lasso_spatial,random,2,mae_log,0.266963899497597
lasso_spatial,random,2,r2,0.6180354491425977
lasso_spatial,random,2,medape_pct,19.71195635429502
lasso_spatial,random,2,mae_price_gbp,225764.31469024403
lasso_spatial,random,2,duan_smearing,1.0765907292856578
lightgbm,random,2,rmse_log,0.3268586175461378
lightgbm,random,2,mae_log,0.23544353065007492
lightgbm,random,2,r2,0.701813605240115
lightgbm,random,2,medape_pct,17.212205484923732
lightgbm,random,2,mae_price_gbp,194634.56721301
lightgbm,random,2,duan_smearing,1.0545845358496007
global_mean,random,3,rmse_log,0.5980765748250416
global_mean,random,3,mae_log,0.44196379881983316
global_mean,random,3,r2,-2.7097518717988933e-05
global_mean,random,3,medape_pct,33.94491213795482
global_mean,random,3,mae_price_gbp,377312.9675831148
global_mean,random,3,duan_smearing,1.2641551849045165
global_median,random,3,rmse_log,0.6017654223756921
global_median,random,3,mae_log,0.43758318972441096
global_median,random,3,r2,-0.012401178381930444
global_median,random,3,medape_pct,31.99233766233768
global_median,random,3,mae_price_gbp,377312.9675831148
global_median,random,3,duan_smearing,1.35542976514504
spatial_knn,random,3,rmse_log,0.3715912098445044
spatial_knn,random,3,mae_log,0.251631923158288
spatial_knn,random,3,r2,0.6139628975883379
spatial_knn,random,3,medape_pct,16.184724905142485
spatial_knn,random,3,mae_price_gbp,209183.02838812128
spatial_knn,random,3,duan_smearing,1.0374580513083744
ridge_no_spatial,random,3,rmse_log,0.41763193793331954
ridge_no_spatial,random,3,mae_log,0.30522405191396756
ridge_no_spatial,random,3,r2,0.5123754191396312
ridge_no_spatial,random,3,medape_pct,23.152636348931242
ridge_no_spatial,random,3,mae_price_gbp,259568.79680432097
ridge_no_spatial,random,3,duan_smearing,1.1057414780047632
ridge_spatial,random,3,rmse_log,0.36955449633137105
ridge_spatial,random,3,mae_log,0.2663530341726734
ridge_spatial,random,3,r2,0.6181830848750696
ridge_spatial,random,3,medape_pct,19.697806405169345
ridge_spatial,random,3,mae_price_gbp,225781.973018954
ridge_spatial,random,3,duan_smearing,1.0763856185120748
lasso_spatial,random,3,rmse_log,0.3698342920193591
lasso_spatial,random,3,mae_log,0.2663143852301725
lasso_spatial,random,3,r2,0.6176047064808168
lasso_spatial,random,3,medape_pct,19.745466784862888
lasso_spatial,random,3,mae_price_gbp,225817.98693791303
lasso_spatial,random,3,duan_smearing,1.0766051535930894
lightgbm,random,3,rmse_log,0.3294965270853585
lightgbm,random,3,mae_log,0.23658757783633108
lightgbm,random,3,r2,0.6964712271693944
lightgbm,random,3,medape_pct,17.25271060246989
lightgbm,random,3,mae_price_gbp,195671.1701989368
lightgbm,random,3,duan_smearing,1.054406347016874
global_mean,random,4,rmse_log,0.602355255961638
global_mean,random,4,mae_log,0.4434272273879922
global_mean,random,4,r2,-1.0277051342377774e-05
global_mean,random,4,medape_pct,34.01151835060813
global_mean,random,4,mae_price_gbp,383863.52861836256
global_mean,random,4,duan_smearing,1.2614393008092475
global_median,random,4,rmse_log,0.6065061329237115
global_median,random,4,mae_log,0.4392838544178656
global_median,random,4,r2,-0.013840061832840922
global_median,random,4,medape_pct,32.183873250012255
global_median,random,4,mae_price_gbp,383863.52861836244
global_median,random,4,duan_smearing,1.3514598150794852
spatial_knn,random,4,rmse_log,0.3707971012589094
spatial_knn,random,4,mae_log,0.2514002863068067
spatial_knn,random,4,r2,0.6210588964631172
spatial_knn,random,4,medape_pct,16.27830312586071
spatial_knn,random,4,mae_price_gbp,211405.25681595935
spatial_knn,random,4,duan_smearing,1.037599130390325
ridge_no_spatial,random,4,rmse_log,0.4220129774318057
ridge_no_spatial,random,4,mae_log,0.30729129653939824
ridge_no_spatial,random,4,r2,0.5091478841792981
ridge_no_spatial,random,4,medape_pct,23.288903806053717
ridge_no_spatial,random,4,mae_price_gbp,267978.6789919866
ridge_no_spatial,random,4,duan_smearing,1.104554898374829
ridge_spatial,random,4,rmse_log,0.373367596799054
ridge_spatial,random,4,mae_log,0.2678497064232369
ridge_spatial,random,4,r2,0.6157867802664299
ridge_spatial,random,4,medape_pct,19.68032710813794
ridge_spatial,random,4,mae_price_gbp,233364.78473767263
ridge_spatial,random,4,duan_smearing,1.0757300825795062
lasso_spatial,random,4,rmse_log,0.37366133387503336
lasso_spatial,random,4,mae_log,0.2678596024574886
lasso_spatial,random,4,r2,0.6151820032982259
lasso_spatial,random,4,medape_pct,19.66533377597915
lasso_spatial,random,4,mae_price_gbp,233432.37677271443
lasso_spatial,random,4,duan_smearing,1.0759469936973787
lightgbm,random,4,rmse_log,0.32933250505510736
lightgbm,random,4,mae_log,0.23604326370964784
lightgbm,random,4,r2,0.7010708618244678
lightgbm,random,4,medape_pct,17.154773313923922
lightgbm,random,4,mae_price_gbp,200764.06410860652
lightgbm,random,4,duan_smearing,1.0547306420537252
global_mean,spatial,0,rmse_log,0.49733550502004403
global_mean,spatial,0,mae_log,0.38680622689662963
global_mean,spatial,0,r2,-0.10872441738109662
global_mean,spatial,0,medape_pct,33.25163710049967
global_mean,spatial,0,mae_price_gbp,297249.92641467374
global_mean,spatial,0,duan_smearing,1.287759643487738
global_median,spatial,0,rmse_log,0.4774992334181792
global_median,spatial,0,mae_log,0.3670446343041647
global_median,spatial,0,r2,-0.022045051503466917
global_median,spatial,0,medape_pct,29.333333333333368
global_median,spatial,0,mae_price_gbp,297249.92641467374
global_median,spatial,0,duan_smearing,1.402864311875205
spatial_knn,spatial,0,rmse_log,0.6853117339629394
spatial_knn,spatial,0,mae_log,0.5087134944818061
spatial_knn,spatial,0,r2,-1.1052371163332593
spatial_knn,spatial,0,medape_pct,36.70059089143769
spatial_knn,spatial,0,mae_price_gbp,368492.9129095711
spatial_knn,spatial,0,duan_smearing,1.0406231658429415
ridge_no_spatial,spatial,0,rmse_log,0.3483007690735631
ridge_no_spatial,spatial,0,mae_log,0.26178844114299166
ridge_no_spatial,spatial,0,r2,0.45620707959390194
ridge_no_spatial,spatial,0,medape_pct,20.559147793563305
ridge_no_spatial,spatial,0,mae_price_gbp,157907.90202645285
ridge_no_spatial,spatial,0,duan_smearing,1.1148513862765412
ridge_spatial,spatial,0,rmse_log,0.37321751649528295
ridge_spatial,spatial,0,mae_log,0.28846987771614363
ridge_spatial,spatial,0,r2,0.375620379166567
