model,scheme,fold,metric,value
global_mean,spatial_buffered,2,duan_smearing,1.2224726462532634
global_median,spatial_buffered,2,rmse_log,0.6778153377408828
global_median,spatial_buffered,2,mae_log,0.4825741569163513
global_median,spatial_buffered,2,r2,-0.1651411091172208
global_median,spatial_buffered,2,medape_pct,31.9727891156463
global_median,spatial_buffered,2,mae_price_gbp,417261.00305494864
global_median,spatial_buffered,2,duan_smearing,1.2945609713475335
spatial_knn,spatial_buffered,2,rmse_log,0.955076022914013
spatial_knn,spatial_buffered,2,mae_log,0.7180713229506688
spatial_knn,spatial_buffered,2,r2,-1.3132982338472052
spatial_knn,spatial_buffered,2,medape_pct,47.457324024531125
spatial_knn,spatial_buffered,2,mae_price_gbp,900184.144304815
spatial_knn,spatial_buffered,2,duan_smearing,1.037443150575067
ridge_no_spatial,spatial_buffered,2,rmse_log,0.4943271820432198
ridge_no_spatial,spatial_buffered,2,mae_log,0.3581151240124482
ridge_no_spatial,spatial_buffered,2,r2,0.38029539145098945
ridge_no_spatial,spatial_buffered,2,medape_pct,25.714346128550076
ridge_no_spatial,spatial_buffered,2,mae_price_gbp,355791.1753532618
ridge_no_spatial,spatial_buffered,2,duan_smearing,1.0854658406779616
ridge_spatial,spatial_buffered,2,rmse_log,0.4944179117582234
ridge_spatial,spatial_buffered,2,mae_log,0.35123289642260125
ridge_spatial,spatial_buffered,2,r2,0.38006788714032436
ridge_spatial,spatial_buffered,2,medape_pct,24.726481251049425
ridge_spatial,spatial_buffered,2,mae_price_gbp,338990.60014669725
ridge_spatial,spatial_buffered,2,duan_smearing,1.0636519778051956
lasso_spatial,spatial_buffered,2,rmse_log,0.4994528154035803
lasso_spatial,spatial_buffered,2,mae_log,0.354227317611501
lasso_spatial,spatial_buffered,2,r2,0.36737744349719714
lasso_spatial,spatial_buffered,2,medape_pct,24.5782384340052
lasso_spatial,spatial_buffered,2,mae_price_gbp,339178.7976758465
lasso_spatial,spatial_buffered,2,duan_smearing,1.0639288282719166
lightgbm,spatial_buffered,2,rmse_log,0.4984946095194507
lightgbm,spatial_buffered,2,mae_log,0.3545082093402232
lightgbm,spatial_buffered,2,r2,0.36980250209432797
lightgbm,spatial_buffered,2,medape_pct,24.32338004690751
lightgbm,spatial_buffered,2,mae_price_gbp,336198.10007658944
lightgbm,spatial_buffered,2,duan_smearing,1.0440743708683695
global_mean,spatial_buffered,3,rmse_log,0.6852827666690803
global_mean,spatial_buffered,3,mae_log,0.4992393724717388
global_mean,spatial_buffered,3,r2,-0.0587456221438043
global_mean,spatial_buffered,3,medape_pct,35.52103677897858
global_mean,spatial_buffered,3,mae_price_gbp,445554.8628450716
global_mean,spatial_buffered,3,duan_smearing,1.20561314594476
global_median,spatial_buffered,3,rmse_log,0.7009073004997383
global_median,spatial_buffered,3,mae_log,0.5074732418673243
global_median,spatial_buffered,3,r2,-0.10757507500470176
global_median,spatial_buffered,3,medape_pct,35.161290322580605
global_median,spatial_buffered,3,mae_price_gbp,445554.8628450716
global_median,spatial_buffered,3,duan_smearing,1.2763512942011992
spatial_knn,spatial_buffered,3,rmse_log,0.7413187276845602
spatial_knn,spatial_buffered,3,mae_log,0.5929147927123914
spatial_knn,spatial_buffered,3,r2,-0.23897330777222647
spatial_knn,spatial_buffered,3,medape_pct,52.05610089038532
spatial_knn,spatial_buffered,3,mae_price_gbp,563492.0355200235
spatial_knn,spatial_buffered,3,duan_smearing,1.0344625059774977
ridge_no_spatial,spatial_buffered,3,rmse_log,0.4812616571376198
ridge_no_spatial,spatial_buffered,3,mae_log,0.35061987076032186
ridge_no_spatial,spatial_buffered,3,r2,0.47782685691964366
ridge_no_spatial,spatial_buffered,3,medape_pct,26.904749599721832
ridge_no_spatial,spatial_buffered,3,mae_price_gbp,350052.3383567242
ridge_no_spatial,spatial_buffered,3,duan_smearing,1.0863193527168309
ridge_spatial,spatial_buffered,3,rmse_log,0.5256131627645005
ridge_spatial,spatial_buffered,3,mae_log,0.3758722789636949
ridge_spatial,spatial_buffered,3,r2,0.3771485613706389
ridge_spatial,spatial_buffered,3,medape_pct,27.410466669463307
ridge_spatial,spatial_buffered,3,mae_price_gbp,363538.84096660465
ridge_spatial,spatial_buffered,3,duan_smearing,1.0661616869106683
lasso_spatial,spatial_buffered,3,rmse_log,0.5258535585566331
lasso_spatial,spatial_buffered,3,mae_log,0.37704872851919835
lasso_spatial,spatial_buffered,3,r2,0.3765786932005577
lasso_spatial,spatial_buffered,3,medape_pct,27.666811626665744
lasso_spatial,spatial_buffered,3,mae_price_gbp,364737.4867114885
lasso_spatial,spatial_buffered,3,duan_smearing,1.0663455920795495
lightgbm,spatial_buffered,3,rmse_log,0.5107684201213094
lightgbm,spatial_buffered,3,mae_log,0.3657692918104655
lightgbm,spatial_buffered,3,r2,0.41183377440536817
lightgbm,spatial_buffered,3,medape_pct,26.08587571783495
lightgbm,spatial_buffered,3,mae_price_gbp,354067.07569594315
lightgbm,spatial_buffered,3,duan_smearing,1.0466823584890175
global_mean,spatial_buffered,4,rmse_log,0.5462707332944873
global_mean,spatial_buffered,4,mae_log,0.4411203701900151
global_mean,spatial_buffered,4,r2,-0.7824541492668213
global_mean,spatial_buffered,4,medape_pct,43.11659952776639
global_mean,spatial_buffered,4,mae_price_gbp,337087.6154613441
global_mean,spatial_buffered,4,duan_smearing,1.2758845948657023
global_median,spatial_buffered,4,rmse_log,0.5021656284985875
global_median,spatial_buffered,4,mae_log,0.3947183661484864
global_median,spatial_buffered,4,r2,-0.5062479429122624
global_median,spatial_buffered,4,medape_pct,35.802469135802504
global_median,spatial_buffered,4,mae_price_gbp,337087.61546134413
global_median,spatial_buffered,4,duan_smearing,1.3695019845528087
spatial_knn,spatial_buffered,4,rmse_log,0.4580700683963208
spatial_knn,spatial_buffered,4,mae_log,0.34818693382492205
spatial_knn,spatial_buffered,4,r2,-0.2533325802443023
spatial_knn,spatial_buffered,4,medape_pct,26.945212271925516
spatial_knn,spatial_buffered,4,mae_price_gbp,160268.73343302403
spatial_knn,spatial_buffered,4,duan_smearing,1.0438091306057027
ridge_no_spatial,spatial_buffered,4,rmse_log,0.38265419904871134
ridge_no_spatial,spatial_buffered,4,mae_log,0.2992778468230989
ridge_no_spatial,spatial_buffered,4,r2,0.12538792946801192
ridge_no_spatial,spatial_buffered,4,medape_pct,23.134822062052585
ridge_no_spatial,spatial_buffered,4,mae_price_gbp,119202.2227248344
ridge_no_spatial,spatial_buffered,4,duan_smearing,1.11111331901697
ridge_spatial,spatial_buffered,4,rmse_log,0.3950078763981053
ridge_spatial,spatial_buffered,4,mae_log,0.3207628096568628
ridge_spatial,spatial_buffered,4,r2,0.06800408055992258
ridge_spatial,spatial_buffered,4,medape_pct,31.08353942102664
ridge_spatial,spatial_buffered,4,mae_price_gbp,185252.24308755147
ridge_spatial,spatial_buffered,4,duan_smearing,1.0822307012487566
lasso_spatial,spatial_buffered,4,rmse_log,0.40033442855742307
lasso_spatial,spatial_buffered,4,mae_log,0.3260642144419246
lasso_spatial,spatial_buffered,4,r2,0.0426992888060318
lasso_spatial,spatial_buffered,4,medape_pct,31.96813588398054
lasso_spatial,spatial_buffered,4,mae_price_gbp,188586.0410689864
lasso_spatial,spatial_buffered,4,duan_smearing,1.0824981868498382
lightgbm,spatial_buffered,4,rmse_log,0.3830213514865798
lightgbm,spatial_buffered,4,mae_log,0.30693961050492136
lightgbm,spatial_buffered,4,r2,0.123708763221973
lightgbm,spatial_buffered,4,medape_pct,29.006959049360436
lightgbm,spatial_buffered,4,mae_price_gbp,168343.68810426092
lightgbm,spatial_buffered,4,duan_smearing,1.0588086300157609
