model,scheme,metric,mean,std,cell
lightgbm,random,medape_pct,17.196463679511076,0.03793514202815464,17.1965 +/- 0.0379
lightgbm,random,r2,0.6996361431988256,0.0025278372057740374,0.6996 +/- 0.0025
lightgbm,random,rmse_log,0.3285586874871768,0.0015165222106643026,0.3286 +/- 0.0015
lightgbm,spatial,duan_smearing,1.0531817960389094,0.004873034276967361,1.0532 +/- 0.0049
lightgbm,spatial,mae_log,0.3140280015387008,0.0409737300808932,0.3140 +/- 0.0410
lightgbm,spatial,mae_price_gbp,245106.36209731936,90672.67609092785,245106.3621 +/- 90672.6761
lightgbm,spatial,medape_pct,24.148840148218092,2.074502270624727,24.1488 +/- 2.0745
lightgbm,spatial,r2,0.38365100977600586,0.12502650932630419,0.3837 +/- 0.1250
lightgbm,spatial,rmse_log,0.42557474793905825,0.07159952734992531,0.4256 +/- 0.0716
lightgbm,spatial_buffered,duan_smearing,1.0518686774015644,0.006371702484359948,1.0519 +/- 0.0064
lightgbm,spatial_buffered,mae_log,0.32200865771507253,0.03561258095530225,0.3220 +/- 0.0356
lightgbm,spatial_buffered,mae_price_gbp,252118.77156705866,87280.0795827389,252118.7716 +/- 87280.0796
lightgbm,spatial_buffered,medape_pct,25.141627422154777,2.6417354169022205,25.1416 +/- 2.6417
lightgbm,spatial_buffered,r2,0.3513149865729305,0.14091380570827214,0.3513 +/- 0.1409
lightgbm,spatial_buffered,rmse_log,0.4350987134394416,0.06408935230033748,0.4351 +/- 0.0641
ridge_no_spatial,random,duan_smearing,1.1054802054096244,0.0006008206638528794,1.1055 +/- 0.0006
ridge_no_spatial,random,mae_log,0.3054367915117496,0.0010643351782122952,0.3054 +/- 0.0011
ridge_no_spatial,random,mae_price_gbp,261584.7305365472,3893.1082259361565,261584.7305 +/- 3893.1082
ridge_no_spatial,random,medape_pct,23.211423792540597,0.05242202645887203,23.2114 +/- 0.0524
ridge_no_spatial,random,r2,0.5133181191235934,0.002753118421905062,0.5133 +/- 0.0028
ridge_no_spatial,random,rmse_log,0.41823124214129326,0.002270565730748155,0.4182 +/- 0.0023
ridge_no_spatial,spatial,duan_smearing,1.1034593007186448,0.009661177969465277,1.1035 +/- 0.0097
ridge_no_spatial,spatial,mae_log,0.321910425571053,0.042181002833143647,0.3219 +/- 0.0422
ridge_no_spatial,spatial,mae_price_gbp,255460.48086690306,110361.22779269876,255460.4809 +/- 110361.2278
ridge_no_spatial,spatial,medape_pct,25.473724687537192,4.233809074094167,25.4737 +/- 4.2338
ridge_no_spatial,spatial,r2,0.37344526813677936,0.13051333140814797,0.3734 +/- 0.1305
ridge_no_spatial,spatial,rmse_log,0.42830760811639035,0.06349296292475029,0.4283 +/- 0.0635
ridge_no_spatial,spatial_buffered,duan_smearing,1.1001923534153215,0.013912906814871425,1.1002 +/- 0.0139
ridge_no_spatial,spatial_buffered,mae_log,0.3218744370079408,0.040225933061721376,0.3219 +/- 0.0402
ridge_no_spatial,spatial_buffered,mae_price_gbp,253969.46379869207,108820.41492902541,253969.4638 +/- 108820.4149
ridge_no_spatial,spatial_buffered,medape_pct,25.320549771608416,3.6197738622711153,25.3205 +/- 3.6198
ridge_no_spatial,spatial_buffered,r2,0.36938006559119857,0.1415548088103524,0.3694 +/- 0.1416
ridge_no_spatial,spatial_buffered,rmse_log,0.4291163576937048,0.062486869003430374,0.4291 +/- 0.0625
ridge_spatial,random,duan_smearing,1.0761514785146595,0.0003303514547079775,1.0762 +/- 0.0003
ridge_spatial,random,mae_log,0.26698033361811613,0.0007434706369167495,0.2670 +/- 0.0007
ridge_spatial,random,mae_price_gbp,227509.2184220055,3719.979011931122,227509.2184 +/- 3719.9790
ridge_spatial,random,medape_pct,19.708142627474945,0.027500725798984143,19.7081 +/- 0.0275
ridge_spatial,random,r2,0.6179630645026586,0.0020446143568434226,0.6180 +/- 0.0020
ridge_spatial,random,rmse_log,0.3705497783631321,0.001952991418581186,0.3705 +/- 0.0020
ridge_spatial,spatial,duan_smearing,1.075674577384581,0.006374792244503655,1.0757 +/- 0.0064
ridge_spatial,spatial,mae_log,0.3272556815616714,0.0330287700962591,0.3273 +/- 0.0330
ridge_spatial,spatial,mae_price_gbp,261123.69104277948,82582.84217035855,261123.6910 +/- 82582.8422
ridge_spatial,spatial,medape_pct,26.508142531195574,2.682671261662923,26.5081 +/- 2.6827
ridge_spatial,spatial,r2,0.34216745018382966,0.16179144678571472,0.3422 +/- 0.1618
ridge_spatial,spatial,rmse_log,0.43719162557792,0.062320400090374074,0.4372 +/- 0.0623
ridge_spatial,spatial_buffered,duan_smearing,1.0739068848112159,0.008621764137885778,1.0739 +/- 0.0086
ridge_spatial,spatial_buffered,mae_log,0.33086439000967055,0.03230866128037208,0.3309 +/- 0.0323
ridge_spatial,spatial_buffered,mae_price_gbp,265015.543912321,82233.81299383799,265015.5439 +/- 82233.8130
ridge_spatial,spatial_buffered,medape_pct,26.71667799597036,2.678970586257321,26.7167 +/- 2.6790
ridge_spatial,spatial_buffered,r2,0.32421794705903173,0.14795565326539784,0.3242 +/- 0.1480
ridge_spatial,spatial_buffered,rmse_log,0.4440364936075792,0.06307935131778428,0.4440 +/- 0.0631
spatial_knn,random,duan_smearing,1.0374755420870891,0.0002959320068013756,1.0375 +/- 0.0003
spatial_knn,random,mae_log,0.2514358492748131,0.0006813929047442736,0.2514 +/- 0.0007
spatial_knn,random,mae_price_gbp,210010.0812660859,869.8474815984763,210010.0813 +/- 869.8475
spatial_knn,random,medape_pct,16.241621733261713,0.10233933273935261,16.2416 +/- 0.1023
spatial_knn,random,r2,0.6177171096813233,0.0028131105736810156,0.6177 +/- 0.0028
spatial_knn,random,rmse_log,0.37066374991302353,0.0008095443107648853,0.3707 +/- 0.0008
spatial_knn,spatial,duan_smearing,1.0397164046398895,0.0026937998431267062,1.0397 +/- 0.0027
spatial_knn,spatial,mae_log,0.5465669423632125,0.10252983341324168,0.5466 +/- 0.1025
spatial_knn,spatial,mae_price_gbp,492983.498445753,236528.55080943124,492983.4984 +/- 236528.5508
spatial_knn,spatial,medape_pct,42.70120824083752,9.079663193865803,42.7012 +/- 9.0797
spatial_knn,spatial,r2,-0.7151352387416099,0.39089436577247333,-0.7151 +/- 0.3909
spatial_knn,spatial,rmse_log,0.711125016755495,0.13594756060749658,0.7111 +/- 0.1359
spatial_knn,spatial_buffered,duan_smearing,1.0393648607456605,0.0035502318121341642,1.0394 +/- 0.0036
spatial_knn,spatial_buffered,mae_log,0.561772116306154,0.16482783140906757,0.5618 +/- 0.1648
spatial_knn,spatial_buffered,mae_price_gbp,504223.56564327143,308790.51722584845,504223.5656 +/- 308790.5172
spatial_knn,spatial_buffered,medape_pct,46.96789416726534,19.012891176180382,46.9679 +/- 19.0129
spatial_knn,spatial_buffered,r2,-0.7177890442723591,0.5655592493718621,-0.7178 +/- 0.5656
spatial_knn,spatial_buffered,rmse_log,0.7188643787635918,0.2073501119399166,0.7189 +/- 0.2074
